season,position,club,points,played,win,draw,loss,GF,GA,GD,city
1963–64,1,1. FC Köln,45,30,17,11,2,78,40,38,Cologne
1963–64,2,MSV Duisburg,39,30,13,13,4,60,36,24,Duisburg
1963–64,3,Eintracht Frankfurt,39,30,16,7,7,65,41,24,Frankfurt
1963–64,4,Borussia Dortmund,33,30,14,5,11,73,57,16,Dortmund
1963–64,5,VfB Stuttgart,33,30,13,7,10,48,40,8,Stuttgart
1963–64,6,Hamburger SV,32,30,11,10,9,69,60,9,Hamburg
1963–64,7,TSV 1860 Munich,31,30,11,9,10,66,50,16,Munich
1963–64,8,FC Schalke 04,29,30,12,5,13,51,53,-2,Gelsenkirchen
1963–64,9,1. FC Nürnberg,29,30,11,7,12,45,56,-11,Nuremberg
1963–64,10,Werder Bremen,28,30,10,8,12,53,62,-9,Bremen
1963–64,11,Eintracht Braunschweig,28,30,11,6,13,36,49,-13,Braunschweig
1963–64,12,1. FC Kaiserslautern,26,30,10,6,14,48,69,-21,Kaiserslautern
1963–64,13,Karlsruher SC,24,30,8,8,14,42,55,-13,Karlsruhe
1963–64,14,Hertha BSC,24,30,9,6,15,45,65,-20,Berlin
1963–64,15,SC Preußen Münster,23,30,7,9,14,34,52,-18,Münster
1963–64,16,1. FC Saarbrücken,17,30,6,5,19,44,72,-28,Saarbrücken
1964–65,1,Werder Bremen,41,30,15,11,4,54,29,25,Bremen
1964–65,2,1. FC Köln,38,30,14,10,6,66,45,21,Cologne
1964–65,3,Borussia Dortmund,36,30,15,6,9,67,48,19,Dortmund
1964–65,4,TSV 1860 Munich,35,30,14,7,9,70,50,20,Munich
1964–65,5,Hannover 96,33,30,13,7,10,48,42,6,Hanover
1964–65,6,1. FC Nürnberg,32,30,11,10,9,44,38,6,Nuremberg
1964–65,7,MSV Duisburg,32,30,12,8,10,46,48,-2,Duisburg
1964–65,8,Eintracht Frankfurt,29,30,11,7,12,50,58,-8,Frankfurt
1964–65,9,Eintracht Braunschweig,28,30,10,8,12,42,47,-5,Braunschweig
1964–65,10,Borussia Neunkirchen,27,30,9,9,12,44,48,-4,Neunkirchen
1964–65,11,Hamburger SV,27,30,11,5,14,46,56,-10,Hamburg
1964–65,12,VfB Stuttgart,26,30,9,8,13,46,50,-4,Stuttgart
1964–65,13,1. FC Kaiserslautern,25,30,11,3,16,41,53,-12,Kaiserslautern
1964–65,14,Hertha BSC,25,30,7,11,12,40,62,-22,Berlin
1964–65,15,Karlsruher SC,24,30,9,6,15,47,62,-15,Karlsruhe
1964–65,16,FC Schalke 04,22,30,7,8,15,45,60,-15,Gelsenkirchen
1965–66,1,TSV 1860 Munich,50,34,20,10,4,80,40,40,Munich
1965–66,2,Borussia Dortmund,47,34,19,9,6,70,36,34,Dortmund
1965–66,3,FC Bayern Munich,47,34,20,7,7,71,38,33,Munich
1965–66,4,Werder Bremen,45,34,21,3,10,76,40,36,Bremen
1965–66,5,1. FC Köln,44,34,19,6,9,74,41,33,Cologne
