"team_selection1","team_position","team_name","team_points","team_played","team_win","team_draw","team_loss","team_goals_for","team_goals_against"
"1963–64 Bundesliga","1","1. FC Köln","45","30","17","11","2","78","40"
"1963–64 Bundesliga","2","Meidericher SV","39","30","13","13","4","60","36"
"1963–64 Bundesliga","3","Eintracht Frankfurt","39","30","16","7","7","65","41"
"1963–64 Bundesliga","4","Borussia Dortmund","33","30","14","5","11","73","57"
"1963–64 Bundesliga","5","VfB Stuttgart","33","30","13","7","10","48","40"
"1963–64 Bundesliga","6","Hamburger SV","32","30","11","10","9","69","60"
"1963–64 Bundesliga","7","TSV 1860 Munich","31","30","11","9","10","66","50"
"1963–64 Bundesliga","8","FC Schalke 04","29","30","12","5","13","51","53"
"1963–64 Bundesliga","9","1. FC Nürnberg","29","30","11","7","12","45","56"
"1963–64 Bundesliga","10","SV Werder Bremen","28","30","10","8","12","53","62"
"1963–64 Bundesliga","11","Eintracht Braunschweig","28","30","11","6","13","36","49"
"1963–64 Bundesliga","12","1. FC Kaiserslautern","26","30","10","6","14","48","69"
"1963–64 Bundesliga","13","Karlsruher SC","24","30","8","8","14","42","55"
"1963–64 Bundesliga","14","Hertha BSC","24","30","9","6","15","45","65"
"1963–64 Bundesliga","15","SC Preußen Münster","23","30","7","9","14","34","52"
"1963–64 Bundesliga","16","1. FC Saarbrücken","17","30","6","5","19","44","72"
"1964–65 Bundesliga","1","SV Werder Bremen","41","30","15","11","4","54","29"
"1964–65 Bundesliga","2","1. FC Köln","38","30","14","10","6","66","45"
"1964–65 Bundesliga","3","Borussia Dortmund","36","30","15","6","9","67","48"
"1964–65 Bundesliga","4","TSV 1860 Munich","35","30","14","7","9","70","50"
"1964–65 Bundesliga","5","Hannover 96","33","30","13","7","10","48","42"
"1964–65 Bundesliga","6","1. FC Nürnberg","32","30","11","10","9","44","38"
"1964–65 Bundesliga","7","Meidericher SV","32","30","12","8","10","46","48"
"1964–65 Bundesliga","8","Eintracht Frankfurt","29","30","11","7","12","50","58"
"1964–65 Bundesliga","9","Eintracht Braunschweig","28","30","10","8","12","42","47"
"1964–65 Bundesliga","10","Borussia Neunkirchen","27","30","9","9","12","44","48"
"1964–65 Bundesliga","11","Hamburger SV","27","30","11","5","14","46","56"
"1964–65 Bundesliga","12","VfB Stuttgart","26","30","9","8","13","46","50"
